日期,销量
2017-01-01,380
2017-01-02,389
2017-01-03,372
2017-01-04,342
2017-01-05,328
2017-01-06,330
2017-01-07,352
2017-01-08,375
2017-01-09,359
2017-01-10,410
2017-01-11,382
2017-01-12,371
2017-01-13,448
2017-01-14,405
2017-01-15,421
2017-01-16,387
2017-01-17,420
2017-01-18,412
2017-01-19,478
2017-01-20,408
2017-01-21,485
2017-01-22,442
2017-01-23,464
2017-01-24,426
2017-01-25,487
2017-01-26,450
2017-01-27,499
2017-01-28,450
2017-01-29,528
2017-01-30,486
2017-01-31,469
2017-02-01,458
2017-02-02,494
2017-02-03,490
2017-02-04,537
2017-02-05,566
2017-02-06,513
2017-02-07,528
2017-02-08,571
2017-02-09,545
2017-02-10,514
2017-02-11,551
2017-02-12,606
2017-02-13,569
2017-02-14,612
2017-02-15,580
2017-02-16,566
2017-02-17,573
2017-02-18,542
2017-02-19,644
2017-02-20,620
2017-02-21,561
2017-02-22,598
2017-02-23,622
2017-02-24,586
2017-02-25,672
2017-02-26,636
2017-02-27,667
2017-02-28,671
2017-03-01,650
2017-03-02,619
2017-03-03,702
2017-03-04,684
2017-03-05,653
2017-03-06,679
2017-03-07,705
2017-03-08,721
2017-03-09,685
2017-03-10,704
2017-03-11,724
2017-03-12,735
2017-03-13,698
2017-03-14,739
2017-03-15,686
2017-03-16,749
2017-03-17,694
2017-03-18,692
2017-03-19,761
2017-03-20,735
2017-03-21,791
2017-03-22,710
2017-03-23,748
2017-03-24,784
2017-03-25,760
2017-03-26,770
2017-03-27,799
2017-03-28,808
2017-03-29,778
2017-03-30,767
2017-03-31,837
2017-04-01,845
2017-04-02,831
2017-04-03,807
2017-04-04,786
2017-04-05,805
2017-04-06,793
2017-04-07,834
2017-04-08,869
2017-04-09,868
2017-04-10,886
2017-04-11,894
2017-04-12,852
2017-04-13,875
2017-04-14,883
2017-04-15,860
2017-04-16,883
2017-04-17,923
2017-04-18,850
2017-04-19,864
2017-04-20,928
2017-04-21,876
2017-04-22,913
2017-04-23,932
2017-04-24,910
2017-04-25,931
2017-04-26,912
2017-04-27,939
2017-04-28,921
2017-04-29,896
2017-04-30,931
2017-05-01,936
2017-05-02,912
2017-05-03,923
2017-05-04,1009
2017-05-05,1016
2017-05-06,939
2017-05-07,1019
2017-05-08,983
2017-05-09,1005
2017-05-10,1021
2017-05-11,959
2017-05-12,987
2017-05-13,1040
2017-05-14,1060
2017-05-15,1036
2017-05-16,999
2017-05-17,997
2017-05-18,1074
2017-05-19,1053
2017-05-20,1060
2017-05-21,1031
2017-05-22,1031
2017-05-23,1048
2017-05-24,1017
2017-05-25,1086
2017-05-26,1075
2017-05-27,1059
2017-05-28,1082
2017-05-29,1048
2017-05-30,1067
2017-05-31,1116
2017-06-01,1117
2017-06-02,1106
2017-06-03,1069
2017-06-04,1118
2017-06-05,1097
2017-06-06,1103
2017-06-07,1118
2017-06-08,1160
2017-06-09,1114
2017-06-10,1106
2017-06-11,1174
2017-06-12,1204
2017-06-13,1192
2017-06-14,1157
2017-06-15,1155
2017-06-16,1222
2017-06-17,1163
2017-06-18,1206
2017-06-19,1194
2017-06-20,1175
2017-06-21,1180
2017-06-22,1173
2017-06-23,1219
2017-06-24,1187
2017-06-25,1211
2017-06-26,1183
2017-06-27,1250
2017-06-28,1213
2017-06-29,1227
2017-06-30,1266
2017-07-01,1224
2017-07-02,1230
2017-07-03,1240
2017-07-04,1277
2017-07-05,1241
2017-07-06,1322
2017-07-07,1244
2017-07-08,1328
2017-07-09,1303
2017-07-10,1297
2017-07-11,1340
2017-07-12,1266
2017-07-13,1353
2017-07-14,1287
2017-07-15,1308
2017-07-16,1362
2017-07-17,1342
2017-07-18,1365
2017-07-19,1350
2017-07-20,1341
2017-07-21,1343
2017-07-22,1406
2017-07-23,1332
2017-07-24,1382
2017-07-25,1402
2017-07-26,1347
2017-07-27,1339
2017-07-28,1423
2017-07-29,1375
2017-07-30,1407
2017-07-31,1423
2017-08-01,1426
2017-08-02,1391
2017-08-03,1421
2017-08-04,1443
2017-08-05,1392
2017-08-06,1471
2017-08-07,1462
2017-08-08,1487
2017-08-09,1471
2017-08-10,1432
2017-08-11,1426
2017-08-12,1489
2017-08-13,1487
2017-08-14,1479
2017-08-15,1498
2017-08-16,1502
2017-08-17,1486
2017-08-18,1514
2017-08-19,1487
2017-08-20,1472
2017-08-21,1503
2017-08-22,1484
2017-08-23,1500
2017-08-24,1565
2017-08-25,1538
2017-08-26,1508
2017-08-27,1557
2017-08-28,1584
2017-08-29,1526
2017-08-30,1513
2017-08-31,1554
2017-09-01,1521
2017-09-02,1598
2017-09-03,1598
2017-09-04,1534
2017-09-05,1603
2017-09-06,1637
2017-09-07,1615
2017-09-08,1560
2017-09-09,1631
2017-09-10,1607
2017-09-11,1591
2017-09-12,1666
2017-09-13,1637
2017-09-14,1627
2017-09-15,1665
2017-09-16,1592
2017-09-17,1647
2017-09-18,1685
2017-09-19,1698
2017-09-20,1633
2017-09-21,1703
2017-09-22,1690
2017-09-23,1657
2017-09-24,1669
2017-09-25,1734
2017-09-26,1650
2017-09-27,1703
2017-09-28,1715
2017-09-29,1668
2017-09-30,1663
2017-10-01,1722
2017-10-02,1746
2017-10-03,1740
2017-10-04,1765
2017-10-05,1707
2017-10-06,1709
2017-10-07,1697
2017-10-08,1786
2017-10-09,1725
2017-10-10,1738
2017-10-11,1717
2017-10-12,1720
2017-10-13,1824
2017-10-14,1778
2017-10-15,1825
2017-10-16,1775
2017-10-17,1825
2017-10-18,1761
2017-10-19,1787
2017-10-20,1839
2017-10-21,1842
2017-10-22,1844
2017-10-23,1792
2017-10-24,1793
2017-10-25,1799
2017-10-26,1879
2017-10-27,1831
2017-10-28,1857
2017-10-29,1824
2017-10-30,1835
2017-10-31,1856
2017-11-01,1826
2017-11-02,1863
2017-11-03,1840
2017-11-04,1869
2017-11-05,1930
2017-11-06,1927
